product_line,product_type,sku,width,height,shape,description,tier_compatibility,booth_size_min,booth_size_max,features,is_active
Formulate Essential,Banner Display,FML-T-E-S-600-2,8',91.63",Straight,"8' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Perfect for compact spaces and budget-conscious displays.","[""Budget"", ""Hybrid""]",64,150,,true
Formulate Essential,Banner Display,FML-T-E-S-800-2,10',91.63",Straight,"10' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Ideal for standard booth backwalls.","[""Budget"", ""Hybrid""]",100,200,,true
Formulate Essential,Banner Display,FML-T-E-S-850-2,12',91.63",Straight,"12' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Great for larger booth configurations.","[""Budget"", ""Hybrid""]",120,300,,true
Formulate Essential,Banner Display,FML-T-E-S-920-2,15',91.63",Straight,"15' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Excellent for prominent booth presence.","[""Hybrid"", ""Custom""]",150,400,,true
Formulate Essential,Banner Display,FML-T-E-S-1000-2,20',91.63",Straight,"20' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Perfect for large booth backwalls and island exhibits.","[""Hybrid"", ""Custom""]",200,600,,true
Formulate Essential,Banner Display,FML-T-E-S-1200-2,24',91.63",Straight,"24' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Ideal for expansive booth displays.","[""Custom""]",400,800,,true
Formulate Essential,Banner Display,FML-T-E-S-1500-2,30',91.63",Straight,"30' straight banner display with economy tubular aluminum frame. Features bungee cords for easy push-button assembly, rounded corners, and single or double-sided pillowcase fabric graphic. Includes canvas carry bag. Maximum impact for large island booths.","[""Custom""]",600,1200,,true
Formulate Essential,Tabletop,FML-T-ESS-STT-01,6'3",60.25",Straight,"8' tabletop economy aluminum tube frame with bungee cords and rounded corners. Features easy-to-apply pillowcase fabric graphic. Fits on standard 8' table. Includes canvas carry bag. Perfect for small spaces and tabletop presentations.","[""Budget"", ""Hybrid""]",0,100,,true
Formulate Essential,Display,FML-T-ESS-S08-01,8',89.25",Straight,"8' straight economy aluminum tube frame display with bungee cords, rounded corners, and pillowcase fabric graphic. Includes canvas carry bag. Ideal for professional presentations in compact spaces.","[""Budget"", ""Hybrid""]",64,150,,true
Formulate Essential,Display,FML-T-ESS-S10-01,10',89.25",Straight,"10' straight economy aluminum tube frame display with bungee cords, rounded corners, and pillowcase fabric graphic. Includes canvas carry bag. Perfect for standard booth configurations.","[""Budget"", ""Hybrid""]",100,200,,true
Formulate Essential,Display,FML-T-ESS-SC10-01,10',89.25",Serpentine Curved,"10' serpentine curved economy aluminum tube frame display with bungee cords and pillowcase fabric graphic. Creates dynamic visual interest. Includes canvas carry bag. Adds visual flow to booth designs.","[""Hybrid"", ""Custom""]",100,300,,true
Formulate Master,Backwall,FML-T-MS-S08-01,8',91.63",Straight,"8' straight Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Features push-button assembly for easy setup. Professional and sophisticated display solution.","[""Hybrid"", ""Custom""]",64,200,,true
Formulate Master,Backwall,FML-T-MS-S10-01,10',91.63",Straight,"10' straight Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Features push-button assembly. Perfect for standard booth backwalls with enhanced quality.","[""Hybrid"", ""Custom""]",100,300,,true
Formulate Master,Backwall,FML-T-MS-S12-01,12',91.63",Straight,"12' straight Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Features push-button assembly. Ideal for larger booth configurations requiring premium appearance.","[""Hybrid"", ""Custom""]",120,400,,true
Formulate Master,Backwall,FML-T-MS-S15-01,15',91.63",Straight,"15' straight Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Features push-button assembly. Excellent for prominent booth presence.","[""Custom""]",150,500,,true
Formulate Master,Backwall,FML-T-MS-S20-01,20',91.63",Straight,"20' straight Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Features push-button assembly. Perfect for large booth backwalls and island exhibits.","[""Custom""]",200,800,,true
Formulate Master,Backwall,FML-T-MS-HC08-01,8',91.63",Horizontal Curved,"8' horizontal curved Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Creates elegant curved profile. Features push-button assembly.","[""Hybrid"", ""Custom""]",64,200,,true
Formulate Master,Backwall,FML-T-MS-HC10-01,10',91.63",Horizontal Curved,"10' horizontal curved Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Adds sophisticated curvature to booth design. Features push-button assembly.","[""Hybrid"", ""Custom""]",100,300,,true
Formulate Master,Backwall,FML-T-MS-HC20-01,20',91.63",Horizontal Curved,"20' horizontal curved Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Creates dramatic curved presence for large booths. Features push-button assembly.","[""Custom""]",200,800,,true
Formulate Master,Backwall,FML-T-MS-VC08-01,8',91.63",Vertical Curved,"8' vertical curved Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Adds vertical dimension and depth. Features push-button assembly.","[""Hybrid"", ""Custom""]",64,200,,true
Formulate Master,Backwall,FML-T-MS-VC10-01,10',91.63",Vertical Curved,"10' vertical curved Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Creates dimensional interest with vertical curve. Features push-button assembly.","[""Hybrid"", ""Custom""]",100,300,,true
Formulate Master,Backwall,FML-T-MS-VC20-01,20',91.63",Vertical Curved,"20' vertical curved Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Dramatic vertical curved profile for premium booths. Features push-button assembly.","[""Custom""]",200,800,,true
Formulate Master,Backwall,FML-T-MS-SC20-01,20',91.63",Serpentine Curved,"20' serpentine curved Formulate Master backwall with lightweight aluminum tube frame and zipper pillowcase fabric graphic. Creates flowing S-curve design. Features push-button assembly. Maximum visual impact.","[""Custom""]",200,800,,true
Formulate Master,Accent Ladder,FML-T-WL01,2'3",92.7",Straight,"Accent 01 ladder with pillowcase fabric graphic panel. Adds branding and visual interest to booth displays. Lightweight and portable.","[""Budget"", ""Hybrid"", ""Custom""]",64,800,"[]",true
Formulate Master,Accent Ladder,FML-T-WL02,2'3",92.7",Straight,"Accent 02 ladder with three 20""w shelves, top and bottom printed infill panels. Perfect for product displays and branded messaging.","[""Hybrid"", ""Custom""]",100,800,"[""shelving""]",true
Formulate Master,Accent Ladder,FML-T-WL03-L,2'3",92.7",Straight,"Accent 03 ladder with left-hand or right-hand arm tables (no center table), top and bottom printed infill panels. Includes space for medium-sized monitor. Ideal for product demos.","[""Hybrid"", ""Custom""]",100,800,"[""monitor_mount""]",true
Formulate Master,Accent Ladder,FML-T-WL03-R,2'3",92.7",Straight,"Accent 03 ladder with left-hand or right-hand arm tables (no center table), top and bottom printed infill panels. Includes space for medium-sized monitor. Ideal for product demos.","[""Hybrid"", ""Custom""]",100,800,"[""monitor_mount""]",true
Formulate Master,Accent Ladder,FML-T-WL04,3'2",92.4",Straight,"Accent 04 ladder with 36""w table top, top and bottom hook & loop applied graphics panels. Includes hardware mounts for medium-sized monitor. Excellent for interactive displays.","[""Hybrid"", ""Custom""]",150,800,"[""monitor_mount""]",true
Formulate Master,Accent Ladder,FML-T-WL07,3',93.43",Straight,"Accent 07 ladder with two 30""w shelves and a 36""w fabric counter. Adds space for small products to be displayed with style. Great for product showcases.","[""Hybrid"", ""Custom""]",150,800,"[""shelving""]",true
